Service,Name,Street,City,State,PageNo,EditionYear,Lat,Lon,Comments
Beauty Salon,Orchid Beauty Shoppe,57 Winyah Ave.,New Rochelle,New York,11,1937,40.917517,-73.78852,Winyah Ave now renamed to Lincoln Avenue. Location markers assume that house numbers stayed the same. See Winyah Ave on this map http://www.davidrumsey.com/luna/servlet/s/00kucx. Also mentioned: Residence address: 29 Clinton Ave. New Rochelle.
Dining,Harris Tea Room,29 Morris St.,New Rochelle,New York,11,1937,40.917062,-73.786927,
Restaurant,Week’s Restaurant,68 Winyah Ave.,New Rochelle,New York,11,1937,40.917203,-73.789056,Winyah Ave now renamed to Lincoln Avenue. Location markers assume that house numbers stayed the same. See Winyah Ave on this map http://www.davidrumsey.com/luna/servlet/s/00kucx.
Pharmacy,Daniel’s Pharmacy,57 Winyah Ave.,New Rochelle,New York,11,1937,40.917412,-73.788649,Winyah Ave now renamed to Lincoln Avenue. Location markers assume that house numbers stayed the same. See Winyah Ave on this map http://www.davidrumsey.com/luna/servlet/s/00kucx.
Dining,Rogers Dining Room,50 Winyah Avenue,New Rochelle,New York,11,1937,40.917422,-73.78802,Winyah Ave now renamed to Lincoln Avenue. Location markers assume that house numbers stayed the same. See Winyah Ave on this map http://www.davidrumsey.com/luna/servlet/s/00kucx.
Restaurant and Bar,Bal-Mo-Ral Grill,56 Brook St.,New Rochelle,New York,11,1937,40.919185,-73.788928,
Dine and Dance,Club Sky Vue,2 Brook St.,New Rochelle,New York,12,1937,40.91774,-73.788444,
Restaurant,Southern Restaurant,118 Martin Ave. ,White Plains,New York,12,1937,41.030921,-73.768848,
Dine and Dance,White Tower Lodge,“40 Minutes from Harlem”,Pleasantville,New York,12,1937,,,
Hotel,Westview Cottage,R.F.D. Box 180,Eatontown,New Jersey,12,1937,,,
Dine and Dance,Park Tavern,1 Fifth Avenue & Valley Place,Larchmont,New York,13,1937,40.931223,-73.767271,
Dine and Dance,Clark’s Tavern,91 Saw Mill River Road,Elmsford,New York,13,1937,41.057474,-73.817594,
Beauty Salon,Shahana Beauty Salon,144 Main St. ,Tuckahoe,New York,13,1937,40.949083,-73.823605,Phone# is the same as Al's Barber Shop
Barber Shop,Al's Barber Shop,144 Main St. ,Tuckahoe,New York,13,1937,40.949083,-73.823605,Phone# is the same as Shahana Beauty Salon
Restaurant,The Butterfly Inn,47 Washington St.,Tuckahoe,New York,13,1937,40.948457,-73.824341,
Cabaret and Restaurant,Royal Garden,14 New Broad Street,Portchester,New York,13,1937,40.99972,-73.666262,
Lunch Room,Major’s Lunch Room,48 Washington St.,Tuckahoe,New York,13,1937,40.948132,-73.824087,
Restaurant,Mohawk Inn,142 S. 7th Ave.,Mt. Vernon,New York,14,1937,40.90692,-73.838572,
Dine and Dance,The Favorite Grill,154 So. 7th  Ave.,Mt. Vernon,New York,14,1937,40.906489,-73.838317,
Restaurant,Pitt’s Restaurant,24 W. 3rd St.,Mt. Vernon,New York,14,1937,40.906476,-73.836408,
Restaurant,Conrad’s Inn,15 Monroe Street,"Nepperhan, Yonkers",New York,14,1937,40.959564,-73.867677,
